experiment,variant,branch,threads,initial_buckets,total_ops,samples,median_ms,mean_ms,best_ms,median_mops,median_final_buckets,median_final_size
resize_focus,locked_dynamic,main,1,1024,16384,3,31.393,31.494,31.219,0.522,32768,16384
resize_focus,locked_dynamic,main,1,4096,65536,3,127.507,127.110,125.416,0.514,131072,65536
resize_focus,locked_dynamic,main,1,16384,262144,3,504.741,505.106,504.268,0.519,524288,262144
resize_focus,locked_dynamic,main,8,1024,16384,3,37.627,37.466,35.458,0.435,32768,16384
resize_focus,locked_dynamic,main,8,4096,65536,3,146.250,147.169,145.831,0.448,131072,65536
resize_focus,locked_dynamic,main,8,16384,262144,3,574.772,579.887,573.214,0.456,524288,262144
resize_focus,locked_dynamic,main,16,1024,16384,3,38.318,38.490,37.466,0.428,32768,16384
resize_focus,locked_dynamic,main,16,4096,65536,3,152.413,152.203,148.910,0.430,131072,65536
resize_focus,locked_dynamic,main,16,16384,262144,3,611.353,613.490,604.382,0.429,524288,262144
resize_focus,lockfree_chaining,lock-free,1,1024,16384,3,5.397,5.385,5.358,3.036,1024,16384
resize_focus,lockfree_chaining,lock-free,1,4096,65536,3,22.639,22.656,22.626,2.895,4096,65536
resize_focus,lockfree_chaining,lock-free,1,16384,262144,3,108.222,108.423,107.675,2.422,16384,262144
resize_focus,lockfree_chaining,lock-free,8,1024,16384,3,6.230,6.273,6.200,2.630,1024,16384
resize_focus,lockfree_chaining,lock-free,8,4096,65536,3,23.607,21.054,15.637,2.776,4096,65536
resize_focus,lockfree_chaining,lock-free,8,16384,262144,3,97.264,98.964,94.692,2.695,16384,262144
resize_focus,lockfree_chaining,lock-free,16,1024,16384,3,6.426,6.474,6.218,2.550,1024,16384
resize_focus,lockfree_chaining,lock-free,16,4096,65536,3,23.670,23.793,23.388,2.769,4096,65536
resize_focus,lockfree_chaining,lock-free,16,16384,262144,3,100.390,99.883,91.021,2.611,16384,262144
resize_focus,lockfree_dynamic_resize,codex/lock-free-resize-experiment,1,1024,16384,3,13.270,13.266,13.229,1.235,32768,16384
resize_focus,lockfree_dynamic_resize,codex/lock-free-resize-experiment,1,4096,65536,3,46.203,46.211,46.120,1.418,131072,65536
resize_focus,lockfree_dynamic_resize,codex/lock-free-resize-experiment,1,16384,262144,3,178.336,179.326,177.539,1.470,524288,262144
resize_focus,lockfree_dynamic_resize,codex/lock-free-resize-experiment,8,1024,16384,3,5.246,6.150,5.047,3.123,4096,16384
resize_focus,lockfree_dynamic_resize,codex/lock-free-resize-experiment,8,4096,65536,3,27.727,27.602,26.203,2.364,16384,65536
resize_focus,lockfree_dynamic_resize,codex/lock-free-resize-experiment,8,16384,262144,3,113.499,99.498,69.616,2.310,65536,262144
resize_focus,lockfree_dynamic_resize,codex/lock-free-resize-experiment,16,1024,16384,3,7.172,7.139,7.071,2.284,8192,16384
resize_focus,lockfree_dynamic_resize,codex/lock-free-resize-experiment,16,4096,65536,3,28.334,25.816,20.653,2.313,16384,65536
resize_focus,lockfree_dynamic_resize,codex/lock-free-resize-experiment,16,16384,262144,3,98.731,92.482,68.223,2.655,32768,262144
