experiment,variant,branch,mix,get_pct,put_pct,remove_pct,threads,buckets,key_space,total_ops,repeat,ms
workload_mix,locked_dynamic,main,read_heavy,90,10,0,1,262144,65536,262144,1,43.506
workload_mix,locked_dynamic,main,read_heavy,90,10,0,1,262144,65536,262144,2,43.530
workload_mix,locked_dynamic,main,read_heavy,90,10,0,1,262144,65536,262144,3,43.249
workload_mix,locked_dynamic,main,read_heavy,90,10,0,4,262144,65536,262144,1,74.571
workload_mix,locked_dynamic,main,read_heavy,90,10,0,4,262144,65536,262144,2,73.981
workload_mix,locked_dynamic,main,read_heavy,90,10,0,4,262144,65536,262144,3,75.410
workload_mix,locked_dynamic,main,read_heavy,90,10,0,16,262144,65536,262144,1,89.807
workload_mix,locked_dynamic,main,read_heavy,90,10,0,16,262144,65536,262144,2,113.080
workload_mix,locked_dynamic,main,read_heavy,90,10,0,16,262144,65536,262144,3,114.508
workload_mix,locked_dynamic,main,balanced,70,20,10,1,262144,65536,262144,1,50.156
workload_mix,locked_dynamic,main,balanced,70,20,10,1,262144,65536,262144,2,47.616
workload_mix,locked_dynamic,main,balanced,70,20,10,1,262144,65536,262144,3,47.523
workload_mix,locked_dynamic,main,balanced,70,20,10,4,262144,65536,262144,1,89.161
workload_mix,locked_dynamic,main,balanced,70,20,10,4,262144,65536,262144,2,82.337
workload_mix,locked_dynamic,main,balanced,70,20,10,4,262144,65536,262144,3,111.420
workload_mix,locked_dynamic,main,balanced,70,20,10,16,262144,65536,262144,1,106.856
workload_mix,locked_dynamic,main,balanced,70,20,10,16,262144,65536,262144,2,114.130
workload_mix,locked_dynamic,main,balanced,70,20,10,16,262144,65536,262144,3,112.746
workload_mix,locked_dynamic,main,write_heavy,40,40,20,1,262144,65536,262144,1,51.646
workload_mix,locked_dynamic,main,write_heavy,40,40,20,1,262144,65536,262144,2,52.381
workload_mix,locked_dynamic,main,write_heavy,40,40,20,1,262144,65536,262144,3,52.215
workload_mix,locked_dynamic,main,write_heavy,40,40,20,4,262144,65536,262144,1,88.279
workload_mix,locked_dynamic,main,write_heavy,40,40,20,4,262144,65536,262144,2,101.118
workload_mix,locked_dynamic,main,write_heavy,40,40,20,4,262144,65536,262144,3,67.406
workload_mix,locked_dynamic,main,write_heavy,40,40,20,16,262144,65536,262144,1,123.778
workload_mix,locked_dynamic,main,write_heavy,40,40,20,16,262144,65536,262144,2,115.443
workload_mix,locked_dynamic,main,write_heavy,40,40,20,16,262144,65536,262144,3,116.277
workload_mix,lockfree_chaining,lock-free,read_heavy,90,10,0,1,262144,65536,262144,1,8.601
workload_mix,lockfree_chaining,lock-free,read_heavy,90,10,0,1,262144,65536,262144,2,8.439
workload_mix,lockfree_chaining,lock-free,read_heavy,90,10,0,1,262144,65536,262144,3,8.508
workload_mix,lockfree_chaining,lock-free,read_heavy,90,10,0,4,262144,65536,262144,1,4.272
workload_mix,lockfree_chaining,lock-free,read_heavy,90,10,0,4,262144,65536,262144,2,4.045
workload_mix,lockfree_chaining,lock-free,read_heavy,90,10,0,4,262144,65536,262144,3,4.052
workload_mix,lockfree_chaining,lock-free,read_heavy,90,10,0,16,262144,65536,262144,1,3.024
workload_mix,lockfree_chaining,lock-free,read_heavy,90,10,0,16,262144,65536,262144,2,2.855
workload_mix,lockfree_chaining,lock-free,read_heavy,90,10,0,16,262144,65536,262144,3,2.663
workload_mix,lockfree_chaining,lock-free,balanced,70,20,10,1,262144,65536,262144,1,11.511
workload_mix,lockfree_chaining,lock-free,balanced,70,20,10,1,262144,65536,262144,2,11.530
workload_mix,lockfree_chaining,lock-free,balanced,70,20,10,1,262144,65536,262144,3,11.530
workload_mix,lockfree_chaining,lock-free,balanced,70,20,10,4,262144,65536,262144,1,13.413
workload_mix,lockfree_chaining,lock-free,balanced,70,20,10,4,262144,65536,262144,2,14.959
workload_mix,lockfree_chaining,lock-free,balanced,70,20,10,4,262144,65536,262144,3,14.460
workload_mix,lockfree_chaining,lock-free,balanced,70,20,10,16,262144,65536,262144,1,11.663
workload_mix,lockfree_chaining,lock-free,balanced,70,20,10,16,262144,65536,262144,2,11.257
workload_mix,lockfree_chaining,lock-free,balanced,70,20,10,16,262144,65536,262144,3,11.529
workload_mix,lockfree_chaining,lock-free,write_heavy,40,40,20,1,262144,65536,262144,1,18.956
workload_mix,lockfree_chaining,lock-free,write_heavy,40,40,20,1,262144,65536,262144,2,19.093
workload_mix,lockfree_chaining,lock-free,write_heavy,40,40,20,1,262144,65536,262144,3,18.915
workload_mix,lockfree_chaining,lock-free,write_heavy,40,40,20,4,262144,65536,262144,1,24.621
workload_mix,lockfree_chaining,lock-free,write_heavy,40,40,20,4,262144,65536,262144,2,23.123
workload_mix,lockfree_chaining,lock-free,write_heavy,40,40,20,4,262144,65536,262144,3,23.968
workload_mix,lockfree_chaining,lock-free,write_heavy,40,40,20,16,262144,65536,262144,1,27.179
workload_mix,lockfree_chaining,lock-free,write_heavy,40,40,20,16,262144,65536,262144,2,31.085
workload_mix,lockfree_chaining,lock-free,write_heavy,40,40,20,16,262144,65536,262144,3,31.970
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,read_heavy,90,10,0,1,262144,65536,262144,1,10.380
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,read_heavy,90,10,0,1,262144,65536,262144,2,11.476
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,read_heavy,90,10,0,1,262144,65536,262144,3,10.282
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,read_heavy,90,10,0,4,262144,65536,262144,1,4.535
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,read_heavy,90,10,0,4,262144,65536,262144,2,4.321
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,read_heavy,90,10,0,4,262144,65536,262144,3,4.813
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,read_heavy,90,10,0,16,262144,65536,262144,1,3.245
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,read_heavy,90,10,0,16,262144,65536,262144,2,2.760
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,read_heavy,90,10,0,16,262144,65536,262144,3,2.904
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,balanced,70,20,10,1,262144,65536,262144,1,14.852
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,balanced,70,20,10,1,262144,65536,262144,2,14.997
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,balanced,70,20,10,1,262144,65536,262144,3,16.358
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,balanced,70,20,10,4,262144,65536,262144,1,11.362
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,balanced,70,20,10,4,262144,65536,262144,2,15.218
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,balanced,70,20,10,4,262144,65536,262144,3,16.559
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,balanced,70,20,10,16,262144,65536,262144,1,14.684
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,balanced,70,20,10,16,262144,65536,262144,2,15.622
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,balanced,70,20,10,16,262144,65536,262144,3,12.276
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,write_heavy,40,40,20,1,262144,65536,262144,1,24.888
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,write_heavy,40,40,20,1,262144,65536,262144,2,24.620
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,write_heavy,40,40,20,1,262144,65536,262144,3,24.357
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,write_heavy,40,40,20,4,262144,65536,262144,1,23.152
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,write_heavy,40,40,20,4,262144,65536,262144,2,21.443
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,write_heavy,40,40,20,4,262144,65536,262144,3,20.802
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,write_heavy,40,40,20,16,262144,65536,262144,1,30.825
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,write_heavy,40,40,20,16,262144,65536,262144,2,27.225
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,write_heavy,40,40,20,16,262144,65536,262144,3,27.564
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,read_heavy,90,10,0,1,262144,65536,262144,1,30.119
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,read_heavy,90,10,0,1,262144,65536,262144,2,30.316
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,read_heavy,90,10,0,1,262144,65536,262144,3,30.485
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,read_heavy,90,10,0,4,262144,65536,262144,1,114.075
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,read_heavy,90,10,0,4,262144,65536,262144,2,104.878
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,read_heavy,90,10,0,4,262144,65536,262144,3,108.788
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,read_heavy,90,10,0,16,262144,65536,262144,1,138.730
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,read_heavy,90,10,0,16,262144,65536,262144,2,113.517
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,read_heavy,90,10,0,16,262144,65536,262144,3,107.811
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,balanced,70,20,10,1,262144,65536,262144,1,248.833
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,balanced,70,20,10,1,262144,65536,262144,2,241.522
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,balanced,70,20,10,1,262144,65536,262144,3,250.621
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,balanced,70,20,10,4,262144,65536,262144,1,190.998
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,balanced,70,20,10,4,262144,65536,262144,2,130.254
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,balanced,70,20,10,4,262144,65536,262144,3,193.298
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,balanced,70,20,10,16,262144,65536,262144,1,156.007
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,balanced,70,20,10,16,262144,65536,262144,2,189.133
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,balanced,70,20,10,16,262144,65536,262144,3,182.475
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,write_heavy,40,40,20,1,262144,65536,262144,1,113.981
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,write_heavy,40,40,20,1,262144,65536,262144,2,124.379
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,write_heavy,40,40,20,1,262144,65536,262144,3,121.390
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,write_heavy,40,40,20,4,262144,65536,262144,1,158.052
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,write_heavy,40,40,20,4,262144,65536,262144,2,188.744
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,write_heavy,40,40,20,4,262144,65536,262144,3,169.871
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,write_heavy,40,40,20,16,262144,65536,262144,1,164.514
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,write_heavy,40,40,20,16,262144,65536,262144,2,154.855
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,write_heavy,40,40,20,16,262144,65536,262144,3,213.281
