experiment,variant,branch,mix,get_pct,put_pct,remove_pct,threads,buckets,key_space,total_ops,samples,median_ms,mean_ms,best_ms,median_mops
workload_mix,locked_dynamic,main,balanced,70,20,10,1,262144,65536,262144,3,47.616,48.432,47.523,5.505
workload_mix,locked_dynamic,main,balanced,70,20,10,4,262144,65536,262144,3,89.161,94.306,82.337,2.940
workload_mix,locked_dynamic,main,balanced,70,20,10,16,262144,65536,262144,3,112.746,111.244,106.856,2.325
workload_mix,locked_dynamic,main,read_heavy,90,10,0,1,262144,65536,262144,3,43.506,43.428,43.249,6.025
workload_mix,locked_dynamic,main,read_heavy,90,10,0,4,262144,65536,262144,3,74.571,74.654,73.981,3.515
workload_mix,locked_dynamic,main,read_heavy,90,10,0,16,262144,65536,262144,3,113.080,105.798,89.807,2.318
workload_mix,locked_dynamic,main,write_heavy,40,40,20,1,262144,65536,262144,3,52.215,52.081,51.646,5.020
workload_mix,locked_dynamic,main,write_heavy,40,40,20,4,262144,65536,262144,3,88.279,85.601,67.406,2.969
workload_mix,locked_dynamic,main,write_heavy,40,40,20,16,262144,65536,262144,3,116.277,118.499,115.443,2.254
workload_mix,lockfree_chaining,lock-free,balanced,70,20,10,1,262144,65536,262144,3,11.530,11.524,11.511,22.736
workload_mix,lockfree_chaining,lock-free,balanced,70,20,10,4,262144,65536,262144,3,14.460,14.277,13.413,18.129
workload_mix,lockfree_chaining,lock-free,balanced,70,20,10,16,262144,65536,262144,3,11.529,11.483,11.257,22.738
workload_mix,lockfree_chaining,lock-free,read_heavy,90,10,0,1,262144,65536,262144,3,8.508,8.516,8.439,30.811
workload_mix,lockfree_chaining,lock-free,read_heavy,90,10,0,4,262144,65536,262144,3,4.052,4.123,4.045,64.695
workload_mix,lockfree_chaining,lock-free,read_heavy,90,10,0,16,262144,65536,262144,3,2.855,2.847,2.663,91.819
workload_mix,lockfree_chaining,lock-free,write_heavy,40,40,20,1,262144,65536,262144,3,18.956,18.988,18.915,13.829
workload_mix,lockfree_chaining,lock-free,write_heavy,40,40,20,4,262144,65536,262144,3,23.968,23.904,23.123,10.937
workload_mix,lockfree_chaining,lock-free,write_heavy,40,40,20,16,262144,65536,262144,3,31.085,30.078,27.179,8.433
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,balanced,70,20,10,1,262144,65536,262144,3,14.997,15.402,14.852,17.480
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,balanced,70,20,10,4,262144,65536,262144,3,15.218,14.380,11.362,17.226
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,balanced,70,20,10,16,262144,65536,262144,3,14.684,14.194,12.276,17.852
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,read_heavy,90,10,0,1,262144,65536,262144,3,10.380,10.713,10.282,25.255
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,read_heavy,90,10,0,4,262144,65536,262144,3,4.535,4.556,4.321,57.805
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,read_heavy,90,10,0,16,262144,65536,262144,3,2.904,2.970,2.760,90.270
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,write_heavy,40,40,20,1,262144,65536,262144,3,24.620,24.622,24.357,10.648
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,write_heavy,40,40,20,4,262144,65536,262144,3,21.443,21.799,20.802,12.225
workload_mix,lockfree_dynamic_resize,codex/lock-free-resize-experiment,write_heavy,40,40,20,16,262144,65536,262144,3,27.564,28.538,27.225,9.510
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,balanced,70,20,10,1,262144,65536,262144,3,248.833,246.992,241.522,1.053
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,balanced,70,20,10,4,262144,65536,262144,3,190.998,171.517,130.254,1.372
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,balanced,70,20,10,16,262144,65536,262144,3,182.475,175.872,156.007,1.437
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,read_heavy,90,10,0,1,262144,65536,262144,3,30.316,30.307,30.119,8.647
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,read_heavy,90,10,0,4,262144,65536,262144,3,108.788,109.247,104.878,2.410
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,read_heavy,90,10,0,16,262144,65536,262144,3,113.517,120.019,107.811,2.309
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,write_heavy,40,40,20,1,262144,65536,262144,3,121.390,119.917,113.981,2.160
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,write_heavy,40,40,20,4,262144,65536,262144,3,169.871,172.222,158.052,1.543
workload_mix,lockfree_open_addressing,codex/open-addressing-experiment,write_heavy,40,40,20,16,262144,65536,262144,3,164.514,177.550,154.855,1.593
